738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Datos listos para ser enviados                                          
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Redireccion web                                                         
738529424 ;       13693;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110134;201.219.233.20 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13726;   ;resultado ;Desencriptando                          ;01072016      ;110231;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       13726;   ;resultado ;Validacion                              ;01072016      ;110231;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
738529424 ;       13726;   ;transacc  ;738529424                               ;01072016      ;110231;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
738529424 ;       13726;   ;resultado ;logro abrir_conexion                    ;01072016      ;110231;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
738529424 ;       13726;   ;transacc  ;738529424                               ;01072016      ;110231;200.10.12.55   ;OK ;597026007976        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
738529424 ;       13726;   ;transacc  ;738529424                               ;01072016      ;110231;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
738529424 ;       13726;   ;resultado ;datoscom                                ;01072016      ;110231;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;       13726;   ;resultado ;63892                                   ;01072016      ;110231;200.10.12.55   ;ERR;                    ;46                                                                      
          ;       13750;   ;check_mac ;                                        ;01072016      ;110325;186.106.220.21 ;OK ;                    ;Todo OK                                                                 
          ;       13758;   ;Filtro    ;Inicio                                  ;01072016      ;110340;201.219.233.20 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13758;   ;Filtro    ;tbk_param.txt                           ;01072016      ;110340;201.219.233.20 ;OK ;                    ;Archivo parseado                                                        
          ;       13758;   ;Filtro    ;Terminado                               ;01072016      ;110340;201.219.233.20 ;OK ;                    ;Datos Filtrados con exito                                               
738542089 ;       13758;   ;pago      ;inicio                                  ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Parseo realizado                                                        
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Mac generado                                                            
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Datos listos para ser enviados                                          
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
